code,name,source,cal,protein_g,carb_g,fat_g,fiber_g,serving_desc,serving_g
USDA-169790,"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Infant, ready-to-feed",USDA,66,1.4,7.4,3.5,0,,
USDA-169791,"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Infant, powder",USDA,510,10.8,57,27,0,,
USDA-169792,"Babyfood, GERBER, Banana with orange medley",USDA,69,1.1,20.4,0,2.1,,
USDA-169793,"Bear, black, meat (Alaska Native)",USDA,155,20.1,0,8.3,,,
USDA-169794,"Bear, polar, meat, raw (Alaska Native)",USDA,130,25.6,0,3.1,,,
USDA-169795,"Whale, beluga, meat, dried (Alaska Native)",USDA,327,69.9,0,5.3,0,,
USDA-169796,"Whale, beluga, eyes (Alaska Native)",USDA,291,19.6,0,23.3,0,,
USDA-169797,"Whale, beluga, meat, raw (Alaska Native)",USDA,111,26.5,0,0.5,0,,
USDA-169798,"Fish, blackfish, whole (Alaska Native)",USDA,82,15.5,0,1.8,,,
USDA-169799,"Blueberries, wild, frozen (Alaska Native)",USDA,44,0.7,10.4,0,,,
USDA-169800,"Caribou, bone marrow, raw (Alaska Native)",USDA,786,6.7,0,84.4,,,
USDA-169801,"Caribou, eye, raw (Alaska Native)",USDA,326,10.8,0,31.4,,,
USDA-169802,"Cloudberries, raw (Alaska Native)",USDA,51,2.4,8.6,0.8,,,
USDA-169803,"Cockles, raw (Alaska Native)",USDA,79,13.5,4.7,0.7,,,
USDA-169804,"Cranberries, wild, bush, raw (Alaska Native)",USDA,55,1.1,12.3,0.2,6.7,,
USDA-169805,"Cranberry, low bush or lingenberry, raw (Alaska Native)",USDA,55,0.4,12.2,0.5,,,
USDA-169806,"Fish, herring eggs, Pacific, plain (Alaska Native)",USDA,74,9.6,4.5,1.9,,,
USDA-169807,"Fish, herring, Pacific, flesh, air-dried, packed in oil (Alaska Native)",USDA,489,44.5,0,34.6,,,
USDA-169808,"Huckleberries, raw (Alaska Native)",USDA,37,0.4,8.7,0.1,,,
USDA-169809,"Fish, lingcod, meat, raw (Alaska Native)",USDA,79,17.9,0,0.8,,,
USDA-169810,"Fish, lingcod, liver (Alaska Native)",USDA,424,5.6,6,42,,,
USDA-169811,"Tennis Bread, plain (Apache)",USDA,258,9,53.3,1.1,2.6,,
USDA-169812,"Fish, halibut, cooked, with skin (Alaska Native)",USDA,113,22.1,0,2.7,0,,
USDA-169813,"Salmon, red (sockeye), filets with skin, smoked (Alaska Native)",USDA,345,60.6,0,11.4,0,,
USDA-169814,"Agave, raw (Southwest)",USDA,68,0.5,16.2,0.2,6.6,,
USDA-169815,"Lambsquarters, steamed (Northern Plains Indians)",USDA,48,4.1,7.5,0.2,5.2,,
USDA-169816,"Prickly pears, raw (Northern Plains Indians)",USDA,42,0.1,10.2,0.1,5.3,,
USDA-169817,"Prickly pears, broiled (Northern Plains Indians)",USDA,91,0.4,21.6,0.3,,,
USDA-169818,"Prairie Turnips, raw (Northern Plains Indians)",USDA,156,2.6,35.7,0.4,8,,
USDA-169819,"Stinging Nettles, blanched (Northern Plains Indians)",USDA,42,2.7,7.5,0.1,6.9,,
USDA-169820,"Plums, wild (Northern Plains Indians)",USDA,91,0.4,22,0.2,6,,
USDA-169821,"Pinon Nuts, roasted (Navajo)",USDA,541,7.4,51.1,34.1,43.4,,
USDA-169822,"Caribou, hind quarter, meat, cooked (Alaska Native)",USDA,159,28.8,0,4.8,0,,
USDA-169823,"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",USDA,470,9,10.5,43.5,,,
USDA-169824,"Sea lion, Steller, meat with fat (Alaska Native)",USDA,242,22.1,5.6,14.7,,,
USDA-169825,"Sea lion, Steller, fat (Alaska Native)",USDA,850,0.9,0,94,,,
USDA-169826,"Wocas, dried seeds, Oregon, yellow pond lily (Klamath)",USDA,361,7.9,80,1.1,19.2,,
USDA-169827,"Hazelnuts, beaked (Northern Plains Indians)",USDA,628,14.9,23,53,9.8,,
USDA-169828,"Tea, herbal, brewed, Hohoysi (Hopi)",USDA,2,0.1,0,0.2,,,
USDA-169829,"Tortilla, blue corn, Sakwavikaviki (Hopi)",USDA,276,7.8,58.1,1.4,3.4,,
USDA-169830,"Bread, blue corn, somiviki (Hopi)",USDA,186,3.1,39.8,1.5,3.6,,
USDA-169831,"APPLEBEE'S, 9 oz house sirloin steak",USDA,189,26.9,0,9.1,,,
USDA-169832,"T.G.I. FRIDAY'S, FRIDAY'S Shrimp, breaded",USDA,302,11.9,20.9,19,,,
USDA-169833,"T.G.I. FRIDAY'S, french fries",USDA,296,3.7,36.9,14.8,4.1,,
USDA-169834,"T.G.I. FRIDAY'S, fried mozzarella",USDA,333,15.8,25.3,18.8,2.2,,
USDA-169835,"T.G.I. FRIDAY'S, macaroni & cheese, from kid's menu",USDA,121,5,17.4,3.5,1,,
USDA-169836,"Restaurant, family style, french fries",USDA,289,3.5,37.2,14,3.9,,
USDA-169837,"Restaurant, family style, chicken fingers, from kid's menu",USDA,307,18.7,18.8,17.5,1.1,,
USDA-169838,"Restaurant, family style, shrimp, breaded and fried",USDA,308,12.7,22.3,18.7,1.5,,
USDA-169839,"Restaurant, family style, macaroni & cheese, from kids' menu",USDA,151,5.4,18.8,6.1,1.1,,
USDA-169840,"APPLEBEE'S, crunchy onion rings",USDA,356,4.6,40.2,19.6,3.1,,
USDA-169841,"APPLEBEE'S, chicken tenders platter",USDA,297,19.6,18,16.2,1,,
USDA-169842,"CRACKER BARREL, chicken tenderloin platter, fried",USDA,293,18.1,20.3,15.5,0.7,,
USDA-169843,"CRACKER BARREL, coleslaw",USDA,175,0.9,13,13.2,1.6,,
USDA-169844,"DENNY'S, onion rings",USDA,385,5.3,41.1,22.2,2.4,,
USDA-169845,"DENNY'S, spaghetti and meatballs",USDA,170,7.8,15.5,8.5,1.5,,
USDA-169846,"Restaurant, family style, fish fillet, battered or breaded, fried",USDA,219,13.5,16.9,10.8,0.9,,
USDA-169847,"Restaurant, family style, chicken tenders",USDA,302,18.9,19.3,16.6,0.9,,
USDA-169848,"Restaurant, family style, hash browns",USDA,197,2.5,26.6,9,2.7,,
USDA-169849,"CRACKER BARREL, macaroni n' cheese",USDA,194,6.5,15.6,11.8,1.1,,
USDA-169850,"Restaurant, Italian, lasagna with meat",USDA,185,10.8,11.4,10.7,1.5,,
USDA-169851,"OLIVE GARDEN, lasagna classico",USDA,184,11.3,10.3,10.8,1.6,,
USDA-169852,"OLIVE GARDEN, spaghetti with pomodoro sauce",USDA,102,4.3,17.1,1.9,1.7,,
USDA-169853,"CARRABBA'S ITALIAN GRILL, spaghetti with pomodoro sauce",USDA,104,3.4,18.6,1.8,1.7,,
USDA-169854,"ON THE BORDER, cheese enchilada",USDA,271,11.7,16.2,17.7,1.8,,
USDA-169855,"Restaurant, Mexican, cheese enchilada",USDA,273,11.2,15.5,18.5,1.9,,
USDA-169856,"Restaurant, Mexican, cheese tamales",USDA,216,9,18,12,2.2,,
USDA-169857,"CARRABBA'S ITALIAN GRILL, chicken parmesan without cavatappi pasta",USDA,206,19,7.8,11,0.9,,
USDA-169858,"OLIVE GARDEN, chicken parmigiana without pasta",USDA,211,15.3,12.3,11.2,0.9,,
USDA-169859,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with almonds",USDA,409,7.7,79.6,7.3,5.5,,
USDA-169860,"Margarine-like, vegetable oil spread, stick or tub, sweetened",USDA,534,0,16.7,52,0,,
USDA-169861,"Snacks, popcorn, home-prepared, oil-popped, unsalted",USDA,500,9,58.1,28.1,10,,
USDA-169862,"Cereals ready-to-eat, POST, GREAT GRAINS Crunchy Pecan Cereal",USDA,403,9,73,10.5,9.7,,
USDA-169863,"Snacks, granola bar, with coconut, chocolate coated",USDA,531,5.2,55.2,32.2,6.2,,
USDA-169864,"Babyfood, vegetable and brown rice, strained",USDA,69,1.9,12.1,1.5,1.1,,
USDA-169865,"Babyfood, peas and brown rice",USDA,64,3.4,11.5,0.5,2.5,,
USDA-169866,"Frankfurter, meat and poultry, low fat",USDA,121,15.5,8.4,2.8,0.1,,
USDA-169867,"Oil, corn and canola",USDA,884,0,0,100,0,,
USDA-169868,"Milk, fluid, nonfat, calcium fortified (fat free or skim)",USDA,35,3.4,4.9,0.2,0,,
USDA-169869,"Peanut butter, reduced sodium",USDA,590,24,21.8,49.9,6.6,,
USDA-169870,"Cereals ready-to-eat, POST GREAT GRAINS Banana Nut Crunch",USDA,390,9.8,70.9,8.8,11.2,,
USDA-169871,"Babyfood, carrots, toddler",USDA,21,0.6,5.2,0.3,2.3,,
USDA-169872,"Babyfood, dessert, banana pudding, strained",USDA,68,1,14.1,0.8,0.8,,
USDA-169873,"Babyfood, fruit, tutti frutti, strained",USDA,66,0.4,15.5,0.3,0.6,,
USDA-169874,"Babyfood, fruit, tutti frutti, junior",USDA,69,0.4,16,0.4,0.4,,
USDA-169875,"Salad dressing, sweet and sour",USDA,15,0.1,3.7,0,0,,
USDA-169876,"Salad dressing, blue or roquefort cheese, low calorie",USDA,99,5.1,2.9,7.2,0,,
USDA-169877,"Salad dressing, caesar, low calorie",USDA,110,0.3,18.6,4.4,0.1,,
USDA-169878,"Syrups, sugar free",USDA,51,0.8,12,0,0.7,,
USDA-169879,"Jellies, no sugar (with sodium saccharin), any flavors",USDA,121,0.6,29.6,0,2.2,,
USDA-169880,"Candies, hard, dietetic or low calorie (sorbitol)",USDA,394,0,98.6,0,0,,
USDA-169881,"Candies, chocolate covered, low sugar or low calorie",USDA,590,12.4,37.7,43.3,3.5,,
USDA-169882,"Chewing gum, sugarless",USDA,268,0,94.8,0.4,2.4,,
USDA-169883,"Fluid replacement, electrolyte solution (include PEDIALYTE)",USDA,10,0,2.5,0,0,,
USDA-169884,"Vermicelli, made from soy",USDA,331,0.1,82.3,0.1,3.9,,
USDA-169885,"Beans, liquid from stewed kidney beans",USDA,47,1.8,2.8,3.2,0.1,,
USDA-169886,"Chicken, meatless",USDA,224,23.6,3.6,12.7,3.6,,
USDA-169887,"Frankfurter, meatless",USDA,233,19.6,7.7,13.7,3.9,,
USDA-169888,Vegetarian meatloaf or patties,USDA,197,21,8,9,4.6,,
USDA-169889,"Radishes, hawaiian style, pickled",USDA,28,1.1,5.2,0.3,2.2,,
USDA-169890,"Cabbage, japanese style, fresh, pickled",USDA,30,1.6,5.7,0.1,3.1,,
USDA-169891,"Cabbage, mustard, salted",USDA,28,1.1,5.6,0.1,3.1,,
USDA-169892,"Eggplant, pickled",USDA,49,0.9,9.8,0.7,2.5,,
USDA-169893,"Bacon bits, meatless",USDA,476,32,28.6,25.9,10.2,,
USDA-169894,"Butter replacement, without fat, powder",USDA,373,2,89,1,0,,
USDA-169895,"Salad dressing, buttermilk, lite",USDA,202,1.3,21.3,12.4,1.1,,
USDA-169896,"Sweeteners, tabletop, fructose, dry, powder",USDA,368,0,100,0,0,,
USDA-169897,"Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted",USDA,358,35.8,41,5.1,2,,
USDA-169898,"Yogurt, fruit variety, nonfat",USDA,95,4.4,19,0.2,0,,
USDA-169899,"Whipped cream substitute, dietetic, made from powdered mix",USDA,100,0.9,10.6,6,0,,
USDA-169900,"Frozen novelties, ice cream type, sundae, prepackaged",USDA,190,4.3,29.6,6,0.3,,
USDA-169901,"Cheese, american cheddar, imitation",USDA,239,16.7,11.6,14,0,,
USDA-169902,"Quail, cooked, total edible",USDA,227,25.1,0,14.1,0,,
USDA-169903,"Pheasant, cooked, total edible",USDA,239,32.4,0,12.1,0,,
USDA-169904,"Eggs, scrambled, frozen mixture",USDA,131,13.1,7.5,5.6,0,,
USDA-169905,"Dove, cooked (includes squab)",USDA,213,23.9,0,13,0,,
USDA-169906,"Pork, cured, ham, boneless, low sodium, extra lean and regular, roasted",USDA,165,22,0.5,7.7,0,,
USDA-169907,"Longans, dried",USDA,286,4.9,74,0.4,,,
USDA-169908,"Loquats, raw",USDA,47,0.4,12.1,0.2,1.7,,
USDA-169909,"Mammy-apple, (mamey), raw",USDA,51,0.5,12.5,0.5,3,,
USDA-169910,"Mangos, raw",USDA,60,0.8,15,0.4,1.6,,
USDA-169911,"Melons, honeydew, raw",USDA,36,0.5,9.1,0.1,0.8,,
USDA-169912,"Melon balls, frozen",USDA,33,0.8,7.9,0.3,0.7,,
USDA-169913,"Mulberries, raw",USDA,43,1.4,9.8,0.4,1.7,,
USDA-169914,"Nectarines, raw",USDA,44,1.1,10.6,0.3,1.7,,
USDA-169915,"Oheloberries, raw",USDA,28,0.4,6.8,0.2,,,
USDA-169916,"Oranges, raw, California, valencias",USDA,49,1,11.9,0.3,2.5,,
USDA-169917,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",USDA,49,0.9,12.5,0.2,2.2,,
USDA-169918,"Oranges, raw, Florida",USDA,46,0.7,11.5,0.2,2.4,,
USDA-169919,"Oranges, raw, with peel",USDA,63,1.3,15.5,0.3,4.5,,
USDA-169920,"Orange juice, chilled, includes from concentrate, with added calcium",USDA,47,0.7,11.3,0.1,0.3,,
USDA-169921,"Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added calcium",USDA,37,0.6,8.5,0.1,0.2,,
USDA-169922,"Orange juice, frozen concentrate, unsweetened, undiluted, with added calcium",USDA,147,2.4,33.9,0.3,1,,
USDA-169923,"Orange juice, frozen concentrate, unsweetened, undiluted",USDA,148,2.4,35.2,0.3,1,,
USDA-169924,"Tangerines, (mandarin oranges), canned, light syrup pack",USDA,61,0.5,16.2,0.1,0.7,,
USDA-169925,"Tangerine juice, raw",USDA,43,0.5,10.1,0.2,0.2,,
USDA-169926,"Papayas, raw",USDA,43,0.5,10.8,0.3,1.7,,
USDA-169927,"Papaya, canned, heavy syrup, drained",USDA,206,0.1,55.8,0.6,1.5,,
USDA-169928,"Peaches, yellow, raw",USDA,39,0.9,9.5,0.3,1.5,,
USDA-169929,"Peaches, canned, water pack, solids and liquids",USDA,24,0.4,6.1,0.1,1.3,,
USDA-169930,"Peaches, canned, juice pack, solids and liquids",USDA,44,0.6,11.6,0,1.3,,
USDA-169931,"Peaches, canned, extra light syrup, solids and liquids (Includes foods for USDA's Food Distribution Program)",USDA,42,0.4,11.1,0.1,1,,
USDA-169932,"Peaches, dehydrated (low-moisture), sulfured, uncooked",USDA,325,4.9,83.2,1,,,
USDA-169933,"Peaches, dehydrated (low-moisture), sulfured, stewed",USDA,133,2,34.1,0.4,,,
USDA-169934,"Peaches, dried, sulfured, uncooked",USDA,239,3.6,61.3,0.8,8.2,,
USDA-169935,"Peaches, dried, sulfured, stewed, without added sugar",USDA,77,1.2,19.7,0.3,2.7,,
USDA-169936,"Pears, canned, juice pack, solids and liquids",USDA,50,0.3,12.9,0.1,1.6,,
USDA-169937,"Pears, canned, extra light syrup pack, solids and liquids (Includes foods for USDA's Food Distribution Program)",USDA,47,0.3,12.2,0.1,1.6,,
USDA-169938,"Pears, canned, light syrup pack, solids and liquids",USDA,57,0.2,15.2,0,1.6,,
USDA-169939,"Pears, canned, heavy syrup pack, solids and liquids",USDA,74,0.2,19.2,0.1,1.6,,
USDA-169940,"Pear nectar, canned, without added ascorbic acid",USDA,60,0.1,15.8,0,0.6,,
USDA-169941,"Persimmons, japanese, raw",USDA,70,0.6,18.6,0.2,3.6,,
USDA-169942,"Persimmons, japanese, dried",USDA,274,1.4,73.4,0.6,14.5,,
USDA-169943,"Persimmons, native, raw",USDA,127,0.8,33.5,0.4,,,
USDA-169944,"Pineapple, canned, heavy syrup pack, solids and liquids",USDA,78,0.4,20.2,0.1,0.8,,
USDA-169945,"Pineapple, canned, extra heavy syrup pack, solids and liquids",USDA,83,0.3,21.5,0.1,0.8,,
USDA-169946,"Pineapple, frozen, chunks, sweetened",USDA,86,0.4,22.2,0.1,1.1,,
USDA-169947,"Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid",USDA,53,0.4,12.9,0.1,0.2,,
USDA-169948,"Pineapple juice, frozen concentrate, unsweetened, undiluted",USDA,179,1.3,44.3,0.1,0.7,,
USDA-169949,"Plums, raw",USDA,46,0.7,11.4,0.3,1.4,,
USDA-169950,"Plums, canned, purple, water pack, solids and liquids",USDA,41,0.4,11,0,0.9,,
USDA-169951,"Plums, canned, purple, juice pack, solids and liquids",USDA,58,0.5,15.2,0,0.9,,
USDA-169952,"Plums, canned, purple, light syrup pack, solids and liquids",USDA,63,0.4,16.3,0.1,0.9,,
USDA-169953,"Lima beans, immature seeds, frozen, fordhook, unprepared",USDA,106,6.4,19.8,0.4,5.5,,
USDA-169954,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",USDA,103,6.1,19.3,0.3,5.3,,
USDA-169955,"Lima beans, immature seeds, frozen, baby, unprepared",USDA,132,7.6,25.1,0.4,6,,
USDA-169956,"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, without salt",USDA,105,6.7,19.5,0.3,4.8,,
USDA-169957,"Mung beans, mature seeds, sprouted, raw",USDA,30,3,5.9,0.2,1.8,,
USDA-169958,"Beans, pinto, immature seeds, frozen, unprepared",USDA,170,9.8,32.5,0.5,5.7,,
USDA-169959,"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, without salt",USDA,162,9.3,30.9,0.5,5.4,,
USDA-169960,"Beans, shellie, canned, solids and liquids",USDA,30,1.8,6.2,0.2,3.4,,
USDA-169961,"Beans, snap, green, raw",USDA,31,1.8,7,0.2,2.7,,
USDA-169962,"Beans, snap, green, frozen, all styles, unprepared (Includes foods for USDA's Food Distribution Program)",USDA,33,1.8,7.5,0.2,2.6,,
USDA-169963,"Beans, snap, green, frozen, cooked, boiled, drained without salt",USDA,28,1.5,6.5,0.2,3,,
USDA-169964,"Beans, snap, green, frozen, all styles, microwaved",USDA,33,2,7,0.4,3.4,,
USDA-169965,"Beans, snap, green, microwaved",USDA,33,2.3,6.4,0.5,3.4,,
USDA-169966,"Beets, canned, drained solids",USDA,31,0.9,7.2,0.1,1.8,,
USDA-169967,"Broccoli, cooked, boiled, drained, without salt",USDA,35,2.4,7.2,0.4,3.3,,
USDA-169968,"Broccoli, frozen, chopped, unprepared",USDA,26,2.8,4.8,0.3,3,,
USDA-169969,"Broccoli, frozen, chopped, cooked, boiled, drained, without salt",USDA,28,3.1,5.4,0.1,3,,
USDA-169970,"Broccoli, frozen, spears, unprepared (Includes foods for USDA's Food Distribution Program)",USDA,29,3.1,5.4,0.3,3,,
USDA-169971,"Brussels sprouts, cooked, boiled, drained, without salt",USDA,36,2.6,7.1,0.5,2.6,,
USDA-169972,"Brussels sprouts, frozen, unprepared",USDA,41,3.8,7.9,0.4,3.8,,
USDA-169973,"Brussels sprouts, frozen, cooked, boiled, drained, without salt",USDA,42,3.6,8.3,0.4,4.1,,
USDA-169974,"Burdock root, raw",USDA,72,1.5,17.3,0.2,3.3,,
USDA-169975,"Cabbage, raw",USDA,25,1.3,5.8,0.1,2.5,,
USDA-169976,"Cabbage, cooked, boiled, drained, without salt",USDA,23,1.3,5.5,0.1,1.9,,
USDA-169977,"Cabbage, red, raw",USDA,31,1.4,7.4,0.2,2.1,,
USDA-169978,"Cabbage, red, cooked, boiled, drained, without salt",USDA,29,1.5,6.9,0.1,2.6,,
USDA-169979,"Cabbage, chinese (pe-tsai), raw",USDA,16,1.2,3.2,0.2,1.2,,
USDA-169980,"Cabbage, chinese (pe-tsai), cooked, boiled, drained, without salt",USDA,14,1.5,2.4,0.2,1.7,,
USDA-169981,"Cardoon, raw",USDA,17,0.7,4.1,0.1,1.6,,
USDA-169982,"Cardoon, cooked, boiled, drained, without salt",USDA,22,0.8,5.3,0.1,1.7,,
USDA-169983,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",USDA,36,0.8,7.9,0.5,3.3,,
USDA-169984,"Carrots, frozen, cooked, boiled, drained, without salt",USDA,37,0.6,7.7,0.7,3.3,,
USDA-169985,"Cassava, raw",USDA,160,1.4,38.1,0.3,1.8,,
USDA-169986,"Cauliflower, raw",USDA,25,1.9,5,0.3,2,,
USDA-169987,"Celeriac, cooked, boiled, drained, without salt",USDA,27,1,5.9,0.2,1.2,,
USDA-169988,"Celery, raw",USDA,14,0.7,3,0.2,1.6,,
USDA-169989,"Celery, cooked, boiled, drained, without salt",USDA,18,0.8,4,0.2,1.6,,
USDA-169990,"Celtuce, raw",USDA,18,0.9,3.7,0.3,1.7,,
USDA-169991,"Chard, swiss, raw",USDA,19,1.8,3.7,0.2,1.6,,
USDA-169992,"Chicory greens, raw",USDA,23,1.7,4.7,0.3,4,,
USDA-169993,"Chicory roots, raw",USDA,72,1.4,17.5,0.2,1.5,,
USDA-169994,"Chives, raw",USDA,30,3.3,4.4,0.7,2.5,,
USDA-169995,"Chrysanthemum, garland, raw",USDA,24,3.4,3,0.6,3,,
USDA-169996,"Collards, frozen, chopped, cooked, boiled, drained, without salt",USDA,36,3,7.1,0.4,2.8,,
USDA-169997,"Coriander (cilantro) leaves, raw",USDA,23,2.1,3.7,0.5,2.8,,
USDA-169998,"Corn, sweet, yellow, raw",USDA,86,3.3,18.7,1.4,2,,
USDA-169999,"Corn, sweet, yellow, cooked, boiled, drained, without salt",USDA,96,3.4,21,1.5,2.4,,
USDA-170000,"Onions, raw",USDA,40,1.1,9.3,0.1,1.7,,
USDA-170001,"Onions, cooked, boiled, drained, without salt",USDA,44,1.4,10.2,0.2,1.4,,
USDA-170002,"Onions, dehydrated flakes",USDA,349,9,83.3,0.5,9.2,,
USDA-170003,"Onions, canned, solids and liquids",USDA,19,0.9,4,0.1,1.2,,
USDA-170004,"Onions, yellow, sauteed",USDA,123,1,7.9,10.8,1.7,,
USDA-170005,"Onions, spring or scallions (includes tops and bulb), raw",USDA,32,1.8,7.3,0.2,2.6,,
USDA-170006,"Onions, young green, tops only",USDA,27,1,5.7,0.5,1.8,,
USDA-170007,"Onions, welsh, raw",USDA,34,1.9,6.5,0.4,2.4,,
USDA-170008,"Onions, sweet, raw",USDA,32,0.8,7.6,0.1,0.9,,
USDA-170009,"Parsnips, cooked, boiled, drained, without salt",USDA,71,1.3,17,0.3,3.6,,
USDA-170010,"Peas, edible-podded, raw",USDA,42,2.8,7.6,0.2,2.6,,
USDA-170011,"Peas, edible-podded, boiled, drained, without salt",USDA,42,3.3,7.1,0.2,2.8,,
USDA-170012,"Peas, edible-podded, frozen, unprepared",USDA,42,2.8,7.2,0.3,3.1,,
USDA-170013,"Peas, green (includes baby and lesuer types), canned, drained solids, unprepared",USDA,68,4.5,11.4,0.8,4.9,,
USDA-170014,"Peas, green, canned, seasoned, solids and liquids",USDA,50,3.1,9.3,0.3,2,,
USDA-170015,"Peas, green, canned, drained solids, rinsed in tap water",USDA,71,4.3,11.8,1,,,
USDA-170016,"Peas, green, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",USDA,77,5.2,13.6,0.4,4.5,,
USDA-170017,"Peas, green, frozen, cooked, boiled, drained, without salt",USDA,78,5.2,14.3,0.3,4.5,,
USDA-170018,"Peas and carrots, frozen, cooked, boiled, drained, without salt",USDA,48,3.1,10.1,0.4,3.1,,
USDA-170019,"Peas and onions, canned, solids and liquids",USDA,51,3.3,8.6,0.4,2.3,,
USDA-170020,"Peas and onions, frozen, unprepared",USDA,70,4,13.5,0.3,3.5,,
USDA-170021,"Peas and onions, frozen, cooked, boiled, drained, without salt",USDA,45,2.5,8.6,0.2,2.2,,
USDA-170022,"Peppers, sweet, green, frozen, chopped, unprepared",USDA,20,1.1,4.5,0.2,1.6,,
USDA-170023,"Peppers, sweet, green, frozen, chopped, boiled, drained, without salt",USDA,18,1,3.9,0.2,0.9,,
USDA-170024,"Peppers, sweet, green, sauteed",USDA,116,0.8,4.2,11.9,1.8,,
USDA-170025,"Pigeonpeas, immature seeds, raw",USDA,136,7.2,23.9,1.6,5.1,,
USDA-170026,"Potatoes, flesh and skin, raw",USDA,77,2.1,17.5,0.1,2.1,,
USDA-170027,"Potatoes, russet, flesh and skin, raw (Includes foods for USDA's Food Distribution Program)",USDA,79,2.1,18.1,0.1,1.3,,
USDA-170028,"Potatoes, white, flesh and skin, raw",USDA,69,1.7,15.7,0.1,2.4,,
USDA-170029,"Potatoes, red, flesh and skin, raw",USDA,70,1.9,15.9,0.1,1.7,,
USDA-170030,"Potatoes, Russet, flesh and skin, baked",USDA,95,2.6,21.4,0.1,2.3,,
USDA-170031,"Potatoes, roasted, salt added in processing, frozen, unprepared",USDA,127,2.2,26.2,1.8,2.6,,
USDA-170032,"Potatoes, raw, skin",USDA,58,2.6,12.4,0.1,2.5,,
USDA-170033,"Potatoes, baked, flesh, without salt",USDA,93,2,21.6,0.1,1.5,,
USDA-170034,"Potatoes, baked, skin, without salt",USDA,198,4.3,46.1,0.1,7.9,,
USDA-170035,"Potatoes, microwaved, cooked in skin, skin, without salt",USDA,132,4.4,29.6,0.1,5.5,,
USDA-170036,"Potatoes, hash brown, home-prepared",USDA,265,3,35.1,12.5,3.2,,
USDA-170037,"Potatoes, mashed, home-prepared, whole milk and margarine added",USDA,113,2,16.9,4.2,1.5,,
USDA-170038,"Potatoes, scalloped, home-prepared with butter",USDA,88,2.9,10.8,3.7,1.9,,
USDA-170039,"Potatoes, mashed, dehydrated, granules without milk, dry form",USDA,372,8.2,85.5,0.5,7.1,,
USDA-170040,"Potatoes, mashed, dehydrated, prepared from granules without milk, whole milk and butter added",USDA,108,2.1,14.4,5,2.2,,
USDA-170041,"Potatoes, mashed, dehydrated, granules with milk, dry form",USDA,357,10.9,77.7,1.1,6.6,,
USDA-170042,"Potatoes, mashed, dehydrated, prepared from granules with milk, water and margarine added",USDA,116,2.1,16.1,4.8,1.3,,
USDA-170043,"Potatoes, hash brown, frozen, plain, unprepared",USDA,82,2.1,17.7,0.6,1.4,,
USDA-170044,"Potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil",USDA,219,2.7,28.5,11.6,3.2,,
USDA-170045,"Potatoes, hash brown, frozen, with butter sauce, unprepared",USDA,135,1.9,18.3,6.7,2.9,,
USDA-170046,"Potatoes, hash brown, frozen, with butter sauce, prepared",USDA,178,2.5,24.1,8.8,3.8,,
USDA-170047,"Potato puffs, frozen, unprepared",USDA,178,1.9,24.8,8.7,2.3,,
USDA-170048,"Potato puffs, frozen, oven-heated",USDA,192,2.1,27.3,9.1,2,,
USDA-170049,"Potatoes, frozen, whole, cooked, boiled, drained, without salt",USDA,65,2,14.5,0.1,1.4,,
USDA-170050,"Tomatoes, red, ripe, cooked",USDA,18,1,4,0.1,0.7,,
USDA-170051,"Tomatoes, red, ripe, canned, packed in tomato juice",USDA,16,0.8,3.5,0.3,1.9,,
USDA-170052,"Tomatoes, red, ripe, canned, stewed",USDA,26,0.9,6.2,0.2,1,,
USDA-170053,"Tomatoes, red, ripe, canned, with green chilies",USDA,15,0.7,3.6,0.1,,,
USDA-170054,"Tomato products, canned, sauce",USDA,24,1.2,5.3,0.3,1.5,,
USDA-170055,"Tomato products, canned, sauce, with mushrooms",USDA,35,1.5,8.4,0.1,1.5,,
USDA-170056,"Tomato products, canned, sauce, with onions",USDA,42,1.6,9.9,0.2,1.8,,
USDA-170057,"Tomato products, canned, sauce, with herbs and cheese",USDA,59,2.1,10.2,1.9,2.2,,
USDA-170058,"Turnips, cooked, boiled, drained, without salt",USDA,22,0.7,5.1,0.1,2,,
USDA-170059,"Turnips, frozen, unprepared",USDA,16,1,2.9,0.2,1.8,,
USDA-170060,"Turnips, frozen, cooked, boiled, drained, without salt",USDA,23,1.5,4.4,0.2,2,,
USDA-170061,"Turnip greens, raw",USDA,32,1.5,7.1,0.3,3.2,,
USDA-170062,"Turnip greens and turnips, frozen, cooked, boiled, drained, without salt",USDA,35,3,4.9,0.4,3.1,,
